id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
9170,Roman Moustopoulos,GRE,male,3/2/1993,1.77,81,judo,0,0,0,0
9171,Roman Prodius,MDA,male,4/12/1981,1.82,70,athletics,0,0,0,0
9172,Roman Roeoesli,SUI,male,9/22/1993,1.91,87,rowing,0,0,0,0
9173,Roman Valiyev,KAZ,male,3/27/1984,1.9,76,athletics,0,0,0,0
9174,Roman Vlasov,RUS,male,10/6/1990,1.75,75,wrestling,1,0,0,1
9175,Romana Malacova,CZE,female,5/15/1987,1.64,57,athletics,0,0,0,0
9176,Romano Battisti,ITA,male,8/21/1986,1.9,91,rowing,0,0,0,0
9177,Romario Leitao,STP,male,1/16/1997,1.75,56,athletics,0,0,0,0
9178,Romell Quioto,HON,male,8/9/1991,1.8,86,football,0,0,0,0
9179,Rommel Pacheco,MEX,male,7/12/1986,1.67,63,aquatics,0,0,0,0
9180,Romuald Hausser,SUI,male,4/16/1988,1.85,72,sailing,0,0,0,0
9181,Romy Kasper,GER,female,5/5/1988,1.73,59,cycling,0,0,0,0
9182,Ron Atias,ISR,male,4/19/1995,1.7,58,taekwondo,0,0,0,0
9183,Ron Darmon,ISR,male,10/30/1992,1.75,65,triathlon,0,0,0,0
9184,Ronal Quispe,BOL,male,3/5/1988,1.64,57,athletics,0,0,0,0
9185,Ronald Forbes,CAY,male,4/5/1985,1.68,57.5,athletics,0,0,0,0
9186,Ronald Kwemoi,KEN,male,9/19/1995,1.72,58,athletics,0,0,0,0
9187,Ronald Musagala,UGA,male,12/16/1992,1.755,70,athletics,0,0,0,0
9188,Ronald Rauhe,GER,male,10/3/1981,1.79,82,canoe,0,0,1,1
9189,Ronald Serugo,UGA,male,9/5/1984,1.835,83.5,boxing,0,0,0,0
9190,Ronaldas Racinskas,LTU,male,5/13/1968,1.88,85,shooting,0,0,0,0
9191,Ronan Gormley,IRL,male,4/21/1983,1.74,74,hockey,0,0,0,0
9192,Rondel Sorrillo,TTO,male,1/24/1986,1.78,62,athletics,0,0,0,0
9193,Rong Shang,CHN,female,2/12/2000,1.7,45,gymnastics,0,0,0,0
9194,Rong Zhao,CHN,female,8/2/1991,1.71,59,football,0,0,0,0
9195,Roniel Iglesias,CUB,male,8/14/1988,1.82,57,boxing,0,0,0,0
9196,Ronja Sturm,GER,female,9/11/1995,1.65,55,rowing,0,0,0,0
9197,Ronnie Ash,USA,male,7/2/1988,1.88,94,athletics,0,0,0,0
9198,Roope Kakko,FIN,male,2/13/1982,1.83,82,golf,0,0,0,0
9199,Rosa Chacha,ECU,female,12/8/1982,1.55,48,athletics,0,0,0,0
9200,Rosa Godoy,ARG,female,3/19/1982,1.6,47,athletics,0,0,0,0
9201,Rosa Keleku Lukusa,COD,female,1/16/1995,1.63,48,taekwondo,0,0,0,0
9202,Rosa Rodriguez,VEN,female,7/2/1986,1.78,88,athletics,0,0,0,0
9203,Rosane Sibele Budag,BRA,female,8/27/1973,1.74,66,shooting,0,0,0,0
9204,Rosane dos Reis Santos,BRA,female,6/20/1987,1.62,53,weightlifting,0,0,0,0
9205,Rosangela Santos,BRA,female,12/20/1990,1.66,64,athletics,0,0,0,0
9206,Rosannagh Maclennan,CAN,female,8/27/1988,1.58,54,gymnastics,1,0,0,1
9207,Rosaria Aiello,ITA,female,5/12/1989,1.72,74,aquatics,0,1,0,1
9208,Rose Chelimo,BRN,female,7/12/1989,1.685,63.5,athletics,0,0,0,0
9209,Rose Mary Almanza,CUB,female,7/13/1992,1.65,53,athletics,0,0,0,0
9210,Rose Nathike Lokonyen,ROT,female,2/24/1995,1.57,50,athletics,0,0,0,0
9211,Rose Stackpole,AUS,female,5/25/1995,1.65,55,aquatics,0,0,0,0
9212,Rose Thomas,FRA,female,11/29/1988,1.63,66,rugby sevens,0,0,0,0
9213,Rose Woo,CAN,female,1/12/2000,1.45,46,gymnastics,0,0,0,0
9214,Rosefelo Siosi,SOL,male,8/23/1996,1.495,49.5,athletics,0,0,0,0
9215,Roseline Filion,CAN,female,7/3/1987,1.54,53,aquatics,0,0,1,1
9216,Rosemary Quispe,BOL,female,8/20/1983,1.59,50,athletics,0,0,0,0
9217,Roser Tarrago Aymerich,ESP,female,3/25/1993,1.71,62,aquatics,0,0,0,0
9218,Rosie White,NZL,female,6/6/1993,1.65,63,football,0,0,0,0
9219,Rosko Specman,RSA,male,4/28/1989,1.74,81,rugby sevens,0,0,1,1
9220,Ross Millington,GBR,male,9/19/1989,1.73,58,athletics,0,0,0,0
9221,Ross Murdoch,GBR,male,1/14/1994,1.83,76,aquatics,0,0,0,0
9222,Rossella Fiamingo,ITA,female,7/14/1991,1.67,50,fencing,0,1,0,1
9223,Rossella Gregorio,ITA,female,8/30/1990,1.64,60,fencing,0,0,0,0
